Episode,TotalReward,Epsilon
1,-7414846.339999985,0.95
2,-7400679.539999985,0.9025
3,-7466571.8399999775,0.8573749999999999
4,-7484273.859999983,0.8145062499999999
5,-7511276.259999969,0.7737809374999999
6,-7507109.719999975,0.7350918906249998
7,-7526678.619999988,0.6983372960937497
8,-7562690.299999971,0.6634204312890623
9,-7580643.740000006,0.6302494097246091
10,-7566565.779999976,0.5987369392383786
